date,latitude,longitude,mag,depth,place
1926-03-01,37.03,50.0,6.1,29.43,AYVACIK-CAMELI (DENIZLI) [South East  3.3 km]
1926-03-03,37.0,30.0,5.3,29.4,IBECIK-GOLHISAR (BURDUR) [North West  1.9 km]
1926-03-04,36.8,5.0,4.8,30.0,CUKURELMA-ELMALI (ANTALYA) [South West  3.1 km]
1926-03-16,37.5,15.0,6.3,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1926-03-17,37.0,30.0,5.6,35.0,CAMILIMANDA-TARSUS (MERSIN) [South East  0.7 km]
1926-03-18,36.0,12.0,4.9,29.0,AKDENIZ
1926-03-18,35.88,80.0,5.5,29.84,AKDENIZ
1926-03-18,35.99,10.0,6.8,30.13,AKDENIZ
1926-03-18,35.84,10.0,6.8,29.5,AKDENIZ
1926-03-19,36.0,15.0,4.4,29.0,AKDENIZ
1926-03-19,35.8,10.0,5.4,29.5,AKDENIZ
1926-03-21,35.8,10.0,5.3,29.5,AKDENIZ
1926-03-23,35.8,10.0,5.5,29.5,AKDENIZ
1926-03-24,35.9,90.0,5.6,28.97,AKDENIZ
1926-03-28,35.8,10.0,4.9,29.5,AKDENIZ
1926-03-31,35.8,10.0,5.2,29.5,AKDENIZ
1926-04-01,35.8,10.0,5.3,29.5,AKDENIZ
1926-04-02,35.0,10.0,4.8,44.0,IRAK
1926-04-20,35.8,10.0,4.9,29.5,AKDENIZ
1926-04-22,35.8,10.0,5.3,29.5,AKDENIZ
1926-05-02,36.0,15.0,4.4,26.0,AKDENIZ
1926-05-22,36.0,15.0,4.8,26.0,AKDENIZ
1926-06-06,36.0,15.0,4.4,26.0,AKDENIZ
1926-06-26,36.5,15.0,5.5,27.5,AKDENIZ
1926-06-26,36.54,100.0,7.7,27.33,ONIKI ADALAR (AKDENIZ)
1926-06-27,36.0,60.0,5.2,28.0,AKDENIZ
1926-07-05,36.52,140.0,5.3,26.69,AKDENIZ
1926-07-08,39.7,30.0,4.7,44.0,BOZYAYLA-DOGUBAYAZIT (AGRI) [South West  2.5 km]
1926-10-22,40.94,10.0,6.0,43.88,SUNGUDERESI-AKYAKA (KARS) [North East  19.1 km]
1926-10-22,40.7,8.0,5.4,43.7,KALKANKALE-AKYAKA (KARS) [South West  2.6 km]
1926-10-25,41.3,18.0,4.8,44.3,AZERBAYCAN
1926-12-07,36.0,15.0,4.9,27.0,AKDENIZ
1926-12-08,36.0,15.0,5.1,27.0,AKDENIZ
1926-12-12,36.0,15.0,4.5,27.0,AKDENIZ
1926-12-16,40.13,10.0,5.8,30.72,BEYYAYLA-SARICAKAYA (ESKISEHIR) [South East  1.5 km]
1926-12-20,39.0,30.0,5.2,31.0,YUREGIL-EMIRDAG (AFYONKARAHISAR) [South West  3.7 km]
1926-12-24,41.5,18.0,4.7,44.1,G�RCISTAN
1927-02-07,39.0,15.0,5.4,31.0,YUREGIL-EMIRDAG (AFYONKARAHISAR) [South West  3.7 km]
1927-03-24,35.45,2.0,5.5,26.39,AKDENIZ
1927-03-29,35.5,10.0,4.9,26.4,AKDENIZ
1927-03-29,35.5,10.0,4.9,26.4,AKDENIZ
1927-03-29,35.5,10.0,4.9,26.4,AKDENIZ
1927-05-20,37.5,15.0,4.7,27.5,KAPIKIRI-MILAS (MUGLA) [South West  2.3 km]
1927-06-05,36.19,10.0,5.6,31.08,ANTALYA K�RFEZI (AKDENIZ)
1927-06-05,36.0,5.0,6.2,31.0,AKDENIZ
1927-09-12,35.0,7.0,4.8,26.0,AKDENIZ
1928-01-24,40.99,10.0,5.5,30.86,KOVUKPELIT-KOCAALI (SAKARYA) [South East  0.7 km]
1928-03-31,38.1,30.0,5.4,27.4,SAGLIK-TORBALI (IZMIR) [North 1.6 km]
1928-03-31,38.1,15.0,5.0,27.4,SAGLIK-TORBALI (IZMIR) [North 1.6 km]
1928-03-31,38.18,10.0,6.5,27.8,DEREBASI-TIRE (IZMIR) [East 1.5 km]
1928-04-02,38.1,15.0,4.4,27.4,SAGLIK-TORBALI (IZMIR) [North 1.6 km]
1928-04-10,37.4,30.0,5.3,26.1,ONIKI ADALAR (AKDENIZ)
